Entidad federativa,Año,Porcentaje_alfabetizacion,Años_escolaridad_15,Pob_hombres,Pob_mujeres,Edad_mediana,Pob_0-4_años,Pob_10-14_años,Pob_+100_años,Pob_15-19_años,Pob_20-24_años,Pob_25-29_años,Pob_30-34_años,Pob_35-39_años,Pob_40-44_años,Pob_45-49_años,Pob_05-9_años,Pob_50-54_años,Pob_55-59_años,Pob_60-64_años,Pob_65-69_años,Pob_70-74_años,Pob_75-79_años,Pob_80-84_años,Pob_85-89_años,Pob_90-94_años,Pob_95-99_años,Pob_afro_share,Pob_indigena_share,Pob_catolica,Pob_no-catolica,Pob_sin-religion,Población urbana,Población rural,Población total,Ingreso_percapita_mean,Ingreso_hogar_mean
30 Veracruz de Ignacio de la Llave,2000,85.0663449351,6.4,3355164,3553811,23,728473,797328,2261,709056,593263,536397,498825,217408,380702,312790,812674,259882,205722,178582,132984,97101,66604,36758,22336,9608,5467,NA,NA,5070065,636439,363951,4079968,2829007,6908975,NA,NA
30 Veracruz de Ignacio de la Llave,2005,NA,7.2,3423379,3686835,25,676902,791110,2115,710167,582248,517828,516830,229601,432692,369611,720700,310556,247750,211512,159801,121464,85434,50171,27716,10668,5679,NA,NA,NA,NA,NA,4310762,2799452,7110214,NA,NA
30 Veracruz de Ignacio de la Llave,2010,87.98,7.67,3695679,3947515,27,662288,741526,2186,759388,642093,557762,539685,251277,486810,424845,728767,365591,298171,239698,183836,155346,100119,62627,35565,13213,5967,NA,NA,5497216,885953,439670,4667134,2976060,7643194,NA,NA
30 Veracruz de Ignacio de la Llave,2015,89.8224950358,8.203437948,NA,NA,28.057669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2808978,29.252284,NA,NA,NA,NA,NA,NA,NA,NA
30 Veracruz de Ignacio de la Llave,2020,91.4112937477,8.7456290582,3871774,4190805,31,600253,685468,2157,681548,600394,580421,568121,258605,537667,516152,675182,488510,408710,347850,279233,203156,145737,95232,54398,21825,8304,2.6720358337,NA,5615966,1265005,572345,4976597,3085982,8062579,10354.7192323326,35126.2507473062
31 Yucatán,1995,NA,NA,773435,783187,22,178063,180223,147,170674,157458,120066,105949,46353,79077,68487,182490,51694,41577,35797,27734,23662,16966,9959,5616,2127,794,NA,NA,NA,NA,NA,1250589,306033,1556622,NA,NA
31 Yucatán,2000,87.5949821341,6.8,818205,840005,23,173213,183581,230,175320,160339,136614,114882,50181,87383,74855,185605,63846,47242,40706,31712,24429,19372,12282,6478,2419,1007,NA,NA,1241108,169516,50841,1348753,309457,1658210,NA,NA
31 Yucatán,2005,NA,7.6,896562,922386,25,169575,188049,182,183960,171550,147473,139475,56944,103126,86897,176491,76900,61894,48236,38247,28422,21195,14293,8573,2818,1110,NA,NA,NA,NA,NA,1509298,309650,1818948,NA,NA
31 Yucatán,2010,90,8.22,963333,992244,26,170727,182604,202,192027,183322,160355,151440,69998,116699,101202,181587,87918,73419,61572,44092,35779,24558,15627,9540,3815,1289,NA,NA,1420611,250000,84514,1642756,312821,1955577,NA,NA
31 Yucatán,2015,91.867439842,8.8210773294,NA,NA,27.477294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1218306,65.403459,NA,NA,NA,NA,NA,NA,NA,NA
31 Yucatán,2020,93.8425234039,9.5947182957,1140279,1180619,30,175986,189137,205,196363,199525,190975,183035,84877,161231,146033,186122,122358,103183,86773,72318,53224,35612,22476,12224,4647,1556,2.9987961556,NA,1597707,358951,181309,1994851,326047,2320898,13415.952425210058,46765.7140822259
32 Zacatecas,1995,NA,NA,655540,680956,20,160610,173536,192,159590,126861,98409,84527,34745,55923,48555,171797,41667,34251,32177,24586,19451,11604,8671,5504,2355,933,NA,NA,NA,NA,NA,670579,665917,1336496,NA,NA
32 Zacatecas,2000,91.9595928338,6.5,653583,700027,21,156356,171383,260,145464,119820,101757,91476,37063,64510,50907,164225,44565,37283,33857,27493,22021,15781,8519,5780,2522,1331,NA,NA,1130872,35317,12987,722064,631546,1353610,NA,NA
32 Zacatecas,2005,NA,7.2,659333,708359,23,143830,156277,267,145349,112509,99137,97454,41641,76065,62751,148813,50399,40637,37993,30335,24798,18430,12212,6230,2572,1188,NA,NA,NA,NA,NA,782962,584730,1367692,NA,NA
32 Zacatecas,2010,93.89,7.9,726897,763771,25,152037,152154,253,150499,131079,107817,105427,48473,88979,74010,151780,62448,47741,41090,34106,29225,21022,13941,8507,2832,1176,NA,NA,1250826,52166,16319,886598,604070,1490668,NA,NA
32 Zacatecas,2015,94.8616927658,8.6295990317,NA,NA,25.73886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0156407,7.6130519,NA,NA,NA,NA,NA,NA,NA,NA
32 Zacatecas,2020,96.0714642403,9.2455634267,791058,831080,28,151745,151355,239,141208,130238,117673,114442,49653,102682,95118,155704,86207,69401,58039,44719,35100,26357,18058,10975,4569,1723,0.9833318744,NA,1356905,75859,34689,1026099,596039,1622138,12496.33819993863,44405.2243657404
